Time,X,Y
1784807005672.1768,0.97344,0.36417
1784807005732.649,0.97053,0.39021
1784807005771.9229,0.9677,0.41734
1784807005832.286,0.96579,0.446
1784807005872.088,0.96374,0.47494
1784807005932.4238,0.96175,0.50392
1784807005972.545,0.95977,0.53366
1784807006032.0808,0.95797,0.56353
1784807006072.755,0.95649,0.59408
1784807006131.967,0.95504,0.62533
1784807006172.113,0.95381,0.65667
1784807006232.1829,0.95226,0.68832
1784807006272.356,0.9507,0.71987
1784807006332.178,0.9494,0.75207
1784807006393.156,0.94834,0.78456
1784807006432.024,0.94762,0.81515
1784807006494.2432,0.94702,0.84036
1784807006531.3262,0.94645,0.85998
1784807006594.548,0.94541,0.87886
1784807006637.0208,0.94535,0.90011
1784807006693.836,0.94565,0.9215
1784807006732.238,0.94593,0.93789
1784807006793.1362,0.94538,0.94943
1784807006832.727,0.9447,0.96013
1784807006894.062,0.9451,0.97239
1784807006932.555,0.94583,0.98422
1784807006994.113,0.94601,0.99323
1784807007052.182,0.94575,0.99918
1784807007093.184,0.94584,1.00297
1784807007151.942,0.94603,1.00446
1784807007192.937,0.94621,1.00447
1784807007252.1348,0.94626,1.004
1784807007311.903,0.94635,1.00347
1784807007352.646,0.94609,1.00325
1784807007411.754,0.94566,1.00311
1784807007451.927,0.94496,1.00297
1784807007511.846,0.94306,1.00327
1784807007551.007,0.93371,1.00574
1784807007612.031,0.91593,1.00951
1784807007652.5261,0.89534,1.0113
1784807007712.877,0.87229,1.01178
1784807007752.428,0.84651,1.01207
1784807007812.727,0.81763,1.01203
1784807007852.915,0.78861,1.01178
1784807007912.231,0.76263,1.01178
1784807007951.5369,0.73787,1.01186
1784807008012.0608,0.71073,1.01172
1784807008051.8542,0.68032,1.01154
1784807008111.912,0.6489,1.01107
1784807008152.125,0.61952,1.01065
1784807008212.4539,0.5919,1.0105
1784807008252.316,0.56287,1.01016
1784807008312.213,0.53114,1.01016
1784807008352.235,0.49769,1.00992
1784807008411.917,0.46545,1.00918
1784807008451.8552,0.43511,1.00887
1784807008511.831,0.40443,1.00836
1784807008551.585,0.37155,1.00783
1784807008612.282,0.33687,1.00692
1784807008652.8928,0.30343,1.00619
1784807008711.957,0.2717,1.00538
1784807008751.71,0.24151,1.00431
1784807008812.632,0.2147,1.00352
1784807008872.968,0.19218,1.00299
1784807008912.6511,0.17218,1.00215
1784807008972.553,0.15261,1.0014
1784807009011.71,0.13214,1.00079
1784807009072.34,0.11443,1.00047
1784807009111.392,0.10115,0.99985
1784807009171.9968,0.09063,0.99955
1784807009211.9438,0.07048,0.99863
1784807009271.9429,0.0611,0.99819
1784807009311.725,0.0515,0.99789
1784807009372.6653,0.04267,0.99788
1784807009431.988,0.03407,0.99805
1784807009472.116,0.02582,0.99809
1784807009531.72,0.01837,0.99785
1784807009572.568,0.01082,0.99742
1784807009631.509,0.00397,0.99719
1784807009672.174,-0.00169,0.99706
1784807009731.648,-0.00688,0.99697
1784807009771.5708,-0.00871,0.99507
1784807009832.0698,-0.00534,0.9873
1784807009872.042,-0.00293,0.97056
1784807009932.058,-0.00497,0.94729
1784807009972.003,-0.00562,0.92358
1784807010032.058,-0.00477,0.89823
1784807010071.653,-0.00425,0.86984
1784807010132.3591,-0.00349,0.84259
1784807010171.587,-0.00311,0.8173
1784807010232.3442,-0.00319,0.79372
1784807010271.573,-0.00348,0.76939
