Time,X,Y
1784807667198.111,-0.00246,0.06881
1784807667238.9077,-0.00273,0.06174
1784807667384.3489,-0.00292,0.05772
1784807667398.308,-0.00291,0.05835
1784807667398.834,-0.00299,0.05855
1784807667460.342,-0.0032,0.05864
1784807667498.1702,-0.00332,0.05863
1784807667559.604,-0.00321,0.05874
1784807667598.493,-0.00303,0.05879
1784807667658.575,-0.00295,0.05861
1784807667717.665,-0.0029,0.05834
1784807667758.417,-0.00273,0.05807
1784807667798.318,-0.00124,0.05805
1784807667858.693,0.00687,0.05795
1784807667936.864,0.02696,0.05865
1784807667978.435,0.05535,0.05892
1784807668018.692,0.08769,0.05809
1784807668078.3,0.12125,0.05708
1784807668119.3608,0.15392,0.05605
1784807668178.018,0.18411,0.05578
1784807668218.3008,0.21029,0.05535
1784807668298.037,0.23301,0.05464
1784807668317.9563,0.25377,0.05437
1784807668439.3953,0.2741,0.0544
1784807668439.9722,0.29618,0.05442
1784807668499.702,0.32073,0.05437
1784807668516.7969,0.34714,0.05437
1784807668578.693,0.37485,0.05453
1784807668618.701,0.40255,0.05432
1784807668678.2598,0.42886,0.054
1784807668738.1382,0.45335,0.0538
1784807668778.516,0.47701,0.05331
1784807668858.826,0.49976,0.05304
1784807668878.1362,0.52284,0.05286
1784807668958.292,0.54682,0.05269
1784807669001.719,0.57222,0.05244
1784807669061.7458,0.59845,0.0524
1784807669098.904,0.62504,0.05242
1784807669138.326,0.65113,0.05231
1784807669199.947,0.70112,0.0521
1784807669238.007,0.70112,0.0521
1784807669300.596,0.72275,0.05202
1784807669338.495,0.74048,0.05199
1784807669479.042,0.76242,0.05236
1784807669479.6292,0.77105,0.0526
1784807669507.999,0.78076,0.05299
1784807669538.926,0.79246,0.05307
1784807669624.369,0.80662,0.05354
1784807669638.2878,0.82061,0.05381
1784807669698.687,0.83153,0.05401
1784807669737.3992,0.83874,0.0541
1784807669799.707,0.84202,0.05468
1784807669858.861,0.84197,0.05504
1784807669900.407,0.84107,0.05511
1784807669979.653,0.84142,0.05529
1784807670018.8958,0.84461,0.05567
1784807670058.125,0.85129,0.0558
1784807670121.216,0.86034,0.05621
1784807670199.533,0.86951,0.05699
1784807670218.1199,0.87666,0.05699
1784807670278.2842,0.88071,0.0571
1784807670318.587,0.88201,0.05668
1784807670380.164,0.88276,0.0564
1784807670523.88,0.88337,0.05621
1784807670538.061,0.88379,0.05588
1784807670538.741,0.88395,0.05558
1784807670579.177,0.88387,0.05513
1784807670638.4739,0.88349,0.05478
1784807670678.3628,0.88384,0.0552
1784807670759.7693,0.8895,0.0596
1784807670778.528,0.90301,0.0735
1784807670855.316,0.9119,0.0966
1784807670877.898,0.9132,0.12539
1784807670938.355,0.91396,0.15493
1784807670978.581,0.91348,0.18377
1784807671038.582,0.91133,0.21262
1784807671078.43,0.9096,0.2412
1784807671138.314,0.90819,0.2692
1784807671198.9429,0.90704,0.29665
1784807671239.778,0.90592,0.32268
1784807671278.465,0.90558,0.34741
1784807671338.3438,0.90534,0.37145
1784807671378.129,0.90619,0.39506
1784807671438.514,0.9073,0.41884
1784807671478.6848,0.9086,0.44308
1784807671579.12,0.90974,0.46766
1784807671579.9292,0.91008,0.49276
1784807671658.3481,0.90962,0.51794
1784807671678.491,0.90846,0.54324
1784807671758.988,0.90717,0.56864
1784807671783.9219,0.90588,0.59376
1784807671838.7031,0.90528,0.61893
1784807671899.563,0.90571,0.6687
1784807671958.3809,0.90657,0.6936
1784807671997.964,0.9073,0.71846
1784807672058.269,0.90762,0.74173
1784807672098.514,0.90733,0.7618
1784807672157.487,0.90652,0.77904
1784807672218.478,0.90547,0.79392
1784807672259.329,0.90428,0.80704
1784807672298.971,0.90356,0.81904
1784807672358.6501,0.903,0.83073
1784807672432.2358,0.90319,0.84261
1784807672458.0679,0.90336,0.85441
1784807672519.1438,0.90426,0.86511
1784807672652.3398,0.90494,0.87551
1784807672653.1821,0.90568,0.88525
1784807672657.844,0.90532,0.89271
1784807672718.612,0.90436,0.89805
1784807672778.54,0.90344,0.90251
1784807672818.496,0.90259,0.90765
1784807672898.1362,0.90197,0.91209
1784807672917.8848,0.9014,0.9159
1784807672993.207,0.90182,0.92003
1784807673018.444,0.90206,0.92446
1784807673079.484,0.90217,0.92788
1784807673117.935,0.90199,0.93017
1784807673178.668,0.90161,0.93134
1784807673218.473,0.90095,0.93093
1784807673278.048,0.90036,0.93094
1784807673318.031,0.89984,0.93099
1784807673378.884,0.89915,0.931
1784807673458.6282,0.89846,0.93099
1784807673477.933,0.898,0.93088
1784807673538.076,0.89768,0.93093
1784807673577.3772,0.89694,0.93121
1784807673678.549,0.89067,0.93477
1784807673679.28,0.87384,0.94197
1784807673738.083,0.84683,0.94837
1784807673799.126,0.81585,0.95285
1784807673838.418,0.78372,0.95494
1784807673898.2249,0.75126,0.95631
1784807673938.9817,0.72013,0.95741
1784807674009.7542,0.6917,0.95848
1784807674038.3733,0.66684,0.9598
1784807674113.6821,0.64479,0.96079
1784807674138.1682,0.6025,0.96272
1784807674198.2642,0.57931,0.96398
1784807674238.2168,0.55412,0.96501
1784807674298.552,0.52717,0.9661
1784807674360.7,0.49968,0.96739
1784807674397.6208,0.47286,0.96862
1784807674459.858,0.44729,0.96945
